task,domain,source_anchor_pct,target_anchor_pct,condition,metric,mean,std,n_folds,n_samples,n_groups,source_bundle,source_training_position_pct,target_training_position_pct,source_route_auroc,target_route_auroc,source_rank,target_rank,source_representation,target_representation
earlystop,math,10,100,task_specific,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r1,10,100,0.895010,0.956656,16,16,raw+rank,raw+rank
earlystop,math,10,100,no_svd,auroc,0.966757,0.010619,5,7680,120,es_svd_ms_rr_r1,10,100,0.895010,0.956656,16,16,raw+rank,raw+rank
earlystop,math,10,100,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,10,100,0.895010,0.956656,16,16,raw+rank,raw+rank
earlystop,math,10,100,no_svd,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r1,10,100,0.895010,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,10,frozen_basis,auroc,0.890445,0.017031,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,frozen_basis,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,frozen_basis,stop_acc,0.716667,0.031180,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,task_specific,auroc,0.895386,0.017083,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,task_specific,stop_acc,0.733333,0.042492,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,no_svd,auroc,0.896373,0.017781,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,10,no_svd,stop_acc,0.716667,0.061237,5,7680,120,es_svd_ms_rr_r1,40,10,0.935389,0.895010,16,16,raw+rank,raw+rank
earlystop,math,40,40,frozen_basis,auroc,0.943594,0.019099,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,frozen_basis,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
