domain,b0_auc_of_auroc,b1_auc_of_auroc,delta_b1_minus_b0_auc_of_auroc,b0_auroc_10,b0_auroc_100,b0_delta_10_to_100_auroc,b1_auroc_10,b1_auroc_100,b1_delta_10_to_100_auroc,b0_earliest_anchor_fixed_threshold,b1_earliest_anchor_fixed_threshold,b0_earliest_anchor_95pct_final_auroc,b1_earliest_anchor_95pct_final_auroc,b0_plateau_anchor_pct,b1_plateau_anchor_pct,takeaway
math,0.967712291383557,0.9660019675904339,-0.0017103237931230808,0.935674831551048,0.9817264019528166,0.04605157040176855,0.9367179916595267,0.9731068597220781,0.03638886806255137,10,10,10,10,50,40,very early strong signal; B0 reaches 95%-of-final at 10% and plateaus by 50%; neuron add-on is not helpful overall (-0.002 AUC)
science,0.8268695663577303,0.8293221051412473,0.002452538783516922,0.7672695755657803,0.8411018630769418,0.07383228751116144,0.7532270415196145,0.8559370101610655,0.10270996864145099,10,10,20,30,40,80,"usable signal already appears by 10%, but the curve keeps improving into later anchors; neuron add-on helps modestly overall (+0.002 AUC)"
coding,0.43209544758840535,0.44206075614526325,0.0099653085568579,0.46558136698981767,0.40683104063385755,-0.058750326355960114,0.44264186517707643,0.4323438689635873,-0.010297996213489147,,,10,10,100,100,weak curve with no fixed-threshold onset; neuron add-on helps mainly late anchors (+0.010 AUC overall)
