summary_type,domain,metric,source_anchor_pct,target_anchor_pct,pair_label,pair_count,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd,paired_source_anchor_pct,paired_target_anchor_pct,paired_pair_label,paired_frozen_basis,paired_delta_fb_minus_ts,forward_minus_backward_frozen,forward_minus_backward_delta
offdiag_focus_pair,science,selacc@10%,100,40,100->40,1,0.940769,0.938406,0.940806,0.002363,-3.7e-05,,,,,,,
offdiag_focus_pair,science,selacc@10%,100,70,100->70,1,0.953306,0.95805,0.955669,-0.004744,-0.002363,,,,,,,
offdiag_focus_pair,science,stop_acc,10,100,10->100,1,0.657051,0.667436,0.631923,-0.010385,0.025128,,,,,,,
offdiag_focus_pair,science,stop_acc,40,100,40->100,1,0.641795,0.667436,0.631923,-0.025641,0.009872,,,,,,,
offdiag_focus_pair,science,stop_acc,100,40,100->40,1,0.631795,0.646795,0.652051,-0.015,-0.020256,,,,,,,
offdiag_focus_pair,science,stop_acc,100,70,100->70,1,0.642308,0.652179,0.631795,-0.009871,0.010513,,,,,,,
offdiag_focus_mean,math,auroc,,,"10->100,40->100,100->40,100->70",4,0.9556417500000001,0.95886375,0.96009175,-0.003222,-0.00445,,,,,,,
offdiag_focus_mean,math,selacc@10%,,,"10->100,40->100,100->40,100->70",4,0.99805175,0.99805175,0.9983765,0.0,-0.00032475,,,,,,,
offdiag_focus_mean,math,stop_acc,,,"10->100,40->100,100->40,100->70",4,0.77916675,0.7833335,0.78333325,-0.00416675,-0.0041665,,,,,,,
offdiag_focus_mean,science,auroc,,,"10->100,40->100,100->40,100->70",4,0.74376,0.76351575,0.7659180000000001,-0.019755750000000002,-0.022158000000000004,,,,,,,
offdiag_focus_mean,science,selacc@10%,,,"10->100,40->100,100->40,100->70",4,0.9373655,0.95912,0.96464975,-0.0217545,-0.02728425,,,,,,,
offdiag_focus_mean,science,stop_acc,,,"10->100,40->100,100->40,100->70",4,0.64323725,0.6584615,0.636923,-0.01522425,0.00631425,,,,,,,
adjacent_forward_pair,math,auroc,10,40,10->40,1,0.943174,0.945627,0.947742,-0.002453,-0.004568,,,,,,,
adjacent_forward_pair,math,auroc,40,70,40->70,1,0.957682,0.95826,0.959111,-0.000578,-0.001429,,,,,,,
adjacent_forward_pair,math,auroc,70,100,70->100,1,0.965791,0.965784,0.966757,7e-06,-0.000966,,,,,,,
adjacent_forward_pair,math,selacc@10%,10,40,10->40,1,0.996104,0.996104,0.997403,0.0,-0.001299,,,,,,,
adjacent_forward_pair,math,selacc@10%,40,70,40->70,1,0.998701,0.998701,0.998701,0.0,0.0,,,,,,,
adjacent_forward_pair,math,selacc@10%,70,100,70->100,1,0.998701,0.998701,0.998701,0.0,0.0,,,,,,,
adjacent_forward_pair,math,stop_acc,10,40,10->40,1,0.766667,0.766667,0.758333,0.0,0.008334,,,,,,,
adjacent_forward_pair,math,stop_acc,40,70,40->70,1,0.766667,0.766667,0.775,0.0,-0.008333,,,,,,,
adjacent_forward_pair,math,stop_acc,70,100,70->100,1,0.791667,0.8,0.8,-0.008333,-0.008333,,,,,,,
adjacent_forward_pair,science,auroc,10,40,10->40,1,0.721508,0.746794,0.743547,-0.025286,-0.022039,,,,,,,
adjacent_forward_pair,science,auroc,40,70,40->70,1,0.74405,0.761127,0.760517,-0.017077,-0.016467,,,,,,,
adjacent_forward_pair,science,auroc,70,100,70->100,1,0.757664,0.773071,0.779804,-0.015407,-0.02214,,,,,,,
adjacent_forward_pair,science,selacc@10%,10,40,10->40,1,0.911362,0.938406,0.940806,-0.027044,-0.029444,,,,,,,
adjacent_forward_pair,science,selacc@10%,40,70,40->70,1,0.9638,0.95805,0.955669,0.00575,0.008131,,,,,,,
adjacent_forward_pair,science,selacc@10%,70,100,70->100,1,0.9763,0.970012,0.981062,0.006288,-0.004762,,,,,,,
adjacent_forward_pair,science,stop_acc,10,40,10->40,1,0.631795,0.646795,0.652051,-0.015,-0.020256,,,,,,,
adjacent_forward_pair,science,stop_acc,40,70,40->70,1,0.657179,0.652179,0.631795,0.005,0.025384,,,,,,,
adjacent_forward_pair,science,stop_acc,70,100,70->100,1,0.647051,0.667436,0.631923,-0.020385,0.015128,,,,,,,
adjacent_forward_mean,math,auroc,,,"10->40,40->70,70->100",3,0.955549,0.9565570000000001,0.9578699999999999,-0.001008,-0.0023209999999999997,,,,,,,
adjacent_forward_mean,math,selacc@10%,,,"10->40,40->70,70->100",3,0.9978353333333333,0.9978353333333333,0.9982683333333333,0.0,-0.000433,,,,,,,
adjacent_forward_mean,math,stop_acc,,,"10->40,40->70,70->100",3,0.7750003333333333,0.777778,0.7777776666666667,-0.0027776666666666666,-0.0027773333333333335,,,,,,,
adjacent_forward_mean,science,auroc,,,"10->40,40->70,70->100",3,0.7410740000000001,0.7603306666666666,0.7612893333333334,-0.01925666666666667,-0.02021533333333333,,,,,,,
adjacent_forward_mean,science,selacc@10%,,,"10->40,40->70,70->100",3,0.9504873333333332,0.9554893333333333,0.9591790000000001,-0.005002,-0.008691666666666667,,,,,,,
