task,domain,source_anchor_pct,target_anchor_pct,condition,metric,mean,std,n_folds,n_samples,n_groups,source_bundle,source_training_position_pct,target_training_position_pct,source_route_auroc,target_route_auroc,source_rank,target_rank,source_representation,target_representation
earlystop,math,10,50,frozen_basis,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,10,50,0.902177,0.943605,16,16,raw+rank,raw+rank
earlystop,math,10,50,frozen_basis,stop_acc,0.775000,0.077280,5,7680,120,es_svd_ms_rr_r2,10,50,0.902177,0.943605,16,16,raw+rank,raw+rank
earlystop,math,10,50,task_specific,auroc,0.950834,0.015963,5,7680,120,es_svd_ms_rr_r2,10,50,0.902177,0.943605,16,16,raw+rank,raw+rank
earlystop,math,10,50,task_specific,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r2,10,50,0.902177,0.943605,16,16,raw+rank,raw+rank
earlystop,math,10,50,task_specific,stop_acc,0.750000,0.058926,5,7680,120,es_svd_ms_rr_r2,10,50,0.902177,0.943605,16,16,raw+rank,raw+rank
earlystop,math,10,50,no_svd,auroc,0.952795,0.012664,5,7680,120,es_svd_ms_rr_r2,10,50,0.902177,0.943605,16,16,raw+rank,raw+rank
earlystop,math,10,50,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,10,50,0.902177,0.943605,16,16,raw+rank,raw+rank
earlystop,math,10,50,no_svd,stop_acc,0.741667,0.055277,5,7680,120,es_svd_ms_rr_r2,10,50,0.902177,0.943605,16,16,raw+rank,raw+rank
earlystop,math,10,60,frozen_basis,auroc,0.950970,0.016513,5,7680,120,es_svd_ms_rr_r2,10,60,0.902177,0.946227,16,16,raw+rank,raw+rank
earlystop,math,10,60,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,10,60,0.902177,0.946227,16,16,raw+rank,raw+rank
earlystop,math,10,60,frozen_basis,stop_acc,0.758333,0.066667,5,7680,120,es_svd_ms_rr_r2,10,60,0.902177,0.946227,16,16,raw+rank,raw+rank
earlystop,math,10,60,task_specific,auroc,0.954784,0.015008,5,7680,120,es_svd_ms_rr_r2,10,60,0.902177,0.946227,16,16,raw+rank,raw+rank
earlystop,math,10,60,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,10,60,0.902177,0.946227,16,16,raw+rank,raw+rank
earlystop,math,10,60,task_specific,stop_acc,0.741667,0.071686,5,7680,120,es_svd_ms_rr_r2,10,60,0.902177,0.946227,16,16,raw+rank,raw+rank
earlystop,math,10,60,no_svd,auroc,0.956348,0.012684,5,7680,120,es_svd_ms_rr_r2,10,60,0.902177,0.946227,16,16,raw+rank,raw+rank
earlystop,math,10,60,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,10,60,0.902177,0.946227,16,16,raw+rank,raw+rank
earlystop,math,10,60,no_svd,stop_acc,0.741667,0.071686,5,7680,120,es_svd_ms_rr_r2,10,60,0.902177,0.946227,16,16,raw+rank,raw+rank
earlystop,math,10,70,frozen_basis,auroc,0.954895,0.015363,5,7680,120,es_svd_ms_rr_r2,10,70,0.902177,0.948793,16,16,raw+rank,raw+rank
earlystop,math,10,70,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r2,10,70,0.902177,0.948793,16,16,raw+rank,raw+rank
earlystop,math,10,70,frozen_basis,stop_acc,0.783333,0.048591,5,7680,120,es_svd_ms_rr_r2,10,70,0.902177,0.948793,16,16,raw+rank,raw+rank
earlystop,math,10,70,task_specific,auroc,0.958260,0.013974,5,7680,120,es_svd_ms_rr_r2,10,70,0.902177,0.948793,16,16,raw+rank,raw+rank
