head_name,family,spearman_rho,kendall_tau,pearson_r,top1_hit,top3_hit,rmse,brier,ece
smoothness_regularized_linear,trajectory,0.5909090909090909,0.4909090909090909,0.834700193406854,0,0,0.3270434015483653,0.1069573864963253,0.0174789286273139
fused_lasso_tv_linear,trajectory,0.5818181818181819,0.4545454545454545,0.8359144404396305,0,0,0.3285015240363012,0.1079132512941725,0.0195736086645634
elastic_net,pointwise,0.5818181818181819,0.4545454545454545,0.8316433536088411,0,0,0.3238641591202537,0.104887993562669,0.0250333162180362
weak_monotone_linear,trajectory,0.5818181818181819,0.4545454545454545,0.8263367670250811,0,0,0.3241257120744854,0.1050574772277922,0.0244269273316797
multi_objective_linear,multi_objective,0.5818181818181819,0.4545454545454545,0.8229043476523427,0,0,0.324675374338099,0.1054140987015847,0.0173657069571899
pairwise_bce_checkpoint_pairs,pairwise,0.5818181818181819,0.4545454545454545,0.8034827572667999,0,0,0.3250774137810993,0.105675324950608,0.0440361603742008
bradley_terry_pairwise_logistic,pairwise,0.5818181818181819,0.4545454545454545,0.7955477473150164,0,0,0.3724811605042121,0.1387422149305646,0.1843095270421305
ranksvm,pairwise,0.5727272727272729,0.4181818181818181,0.7974666358460211,0,0,0.3745360383206204,0.1402772440009052,0.1834404559763358
pairwise_hinge,pairwise,0.5727272727272729,0.4181818181818181,0.7785042900588153,0,0,0.3668039173545058,0.1345451137866111,0.1829744133015116
affine_plus_isotonic,ordinal,0.5727272727272729,0.4181818181818181,0.7771347727473057,0,0,0.3295912317810485,0.1086303800669488,0.0524983988247418
isotonic_calibrator,ordinal,0.5727272727272729,0.4181818181818181,0.7771347727473056,0,0,0.3295912317810485,0.1086303800669488,0.0524983988247418
cumulative_link_ordinal_logit,ordinal,0.5272727272727273,0.3818181818181818,0.7954545650437868,0,0,0.3265436758324687,0.1066307722261804,0.0263591574541562
logistic_regression,pointwise,0.5181818181818182,0.3454545454545454,0.799393480611185,0,0,0.3228849327989495,0.1042546798285821,0.0301751490857346
linear_svr,pointwise,0.0545454545454545,0.0545454545454545,-0.1900300015373988,0,0,0.4279322510011725,0.1831260114469305,0.2685959588587244
ridge_regression,pointwise,0.0454545454545454,0.0909090909090909,0.7192487261522074,0,0,0.3221930909457236,0.1038083878531593,0.0187069539950692
huber_regression,pointwise,-0.2,-0.2,0.5296156835673728,0,0,0.4458553243931616,0.1987869702897314,0.2748261250496412
