bundle_line,bundle_label,domain,anchor_pct,feature_set,n_features,selected_rank,selected_requested_rank,selected_c_value,selected_whiten,selected_class_weight,route_cv_auroc,auroc,selacc_at_10,stop_acc,auc_over_anchor_auroc,auc_over_anchor_selacc,auc_over_anchor_stop_acc,final_anchor_auroc,final_anchor_stop_acc,auroc_ratio_to_final,threshold_value,reaches_95pct_final_auroc,reaches_fixed_threshold,earliest_anchor_95pct_final_auroc,earliest_anchor_fixed_threshold,plateau_anchor_pct,plateau_tolerance_abs,fit_time_sec,inference_time_sec,samples,num_caches
canonical_legacy,B0 legacy canonical,science,10,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,16,16,1.0,False,none,0.6978309143843093,0.7672695755657803,0.9791666666666667,0.7166666666666667,0.8268695663577303,0.9950520833333334,0.68,0.8411018630769418,0.6499999999999999,0.9122195648918596,0.7,False,True,20,10,40,0.01,131.03667650418356,0.27321322122588754,3840,2
canonical_legacy,B0 legacy canonical,science,20,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,16,16,0.2,True,none,0.7297983377793469,0.8013069701520701,0.9921875,0.6333333333333333,0.8268695663577303,0.9950520833333334,0.68,0.8411018630769418,0.6499999999999999,0.9526871896594153,0.7,True,True,20,10,40,0.01,131.03667650418356,0.27321322122588754,3840,2
canonical_legacy,B0 legacy canonical,science,30,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,16,16,0.1,False,balanced,0.7438242777484468,0.8214689591999005,0.9921875,0.7,0.8268695663577303,0.9950520833333334,0.68,0.8411018630769418,0.6499999999999999,0.976658113911174,0.7,True,True,20,10,40,0.01,131.03667650418356,0.27321322122588754,3840,2
canonical_legacy,B0 legacy canonical,science,40,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,16,16,0.5,False,none,0.7440118247673088,0.833774992763247,1.0,0.6666666666666666,0.8268695663577303,0.9950520833333334,0.68,0.8411018630769418,0.6499999999999999,0.9912889619731771,0.7,True,True,20,10,40,0.01,131.03667650418356,0.27321322122588754,3840,2
canonical_legacy,B0 legacy canonical,science,50,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,16,16,0.05,False,none,0.7439455013670089,0.8355147454494537,0.9973958333333333,0.6499999999999999,0.8268695663577303,0.9950520833333334,0.68,0.8411018630769418,0.6499999999999999,0.9933573828893338,0.7,True,True,20,10,40,0.01,131.03667650418356,0.27321322122588754,3840,2
canonical_legacy,B0 legacy canonical,science,60,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,16,16,0.05,False,none,0.7436484533255344,0.8379010478220086,0.9973958333333333,0.6833333333333333,0.8268695663577303,0.9950520833333334,0.68,0.8411018630769418,0.6499999999999999,0.9961944974854485,0.7,True,True,20,10,40,0.01,131.03667650418356,0.27321322122588754,3840,2
canonical_legacy,B0 legacy canonical,science,70,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,16,16,0.05,False,none,0.7446972625168707,0.8422045173329881,0.9973958333333333,0.7333333333333333,0.8268695663577303,0.9950520833333334,0.68,0.8411018630769418,0.6499999999999999,1.0013109639919384,0.7,True,True,20,10,40,0.01,131.03667650418356,0.27321322122588754,3840,2
canonical_legacy,B0 legacy canonical,science,80,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,16,16,0.05,False,none,0.7492736113473654,0.8461405424033657,1.0,0.6666666666666666,0.8268695663577303,0.9950520833333334,0.68,0.8411018630769418,0.6499999999999999,1.0059905696891351,0.7,True,True,20,10,40,0.01,131.03667650418356,0.27321322122588754,3840,2
canonical_legacy,B0 legacy canonical,science,90,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,16,16,0.05,False,balanced,0.7516502273725308,0.8420124498115482,1.0,0.7,0.8268695663577303,0.9950520833333334,0.68,0.8411018630769418,0.6499999999999999,1.0010826117199114,0.7,True,True,20,10,40,0.01,131.03667650418356,0.27321322122588754,3840,2
canonical_legacy,B0 legacy canonical,science,100,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,12,12,0.05,True,balanced,0.7583648144007742,0.8411018630769418,0.9947916666666667,0.6499999999999999,0.8268695663577303,0.9950520833333334,0.68,0.8411018630769418,0.6499999999999999,1.0,0.7,True,True,20,10,40,0.01,131.03667650418356,0.27321322122588754,3840,2
