bundle_line,bundle_label,domain,threshold_value,auc_over_anchor_auroc,final_anchor_auroc,earliest_anchor_fixed_threshold,earliest_anchor_95pct_final_auroc,auroc_10,auroc_20,auroc_30,auroc_40,auroc_50,auroc_60,auroc_70,auroc_80,auroc_90,auroc_100
canonical_legacy,B0 legacy canonical,math,0.8,0.967712291383557,0.9817264019528166,10,10,0.935674831551048,0.9512999596391717,0.9593806992109047,0.9689413105631977,0.9730838602658737,0.9750129837860744,0.9760681967929894,0.9781889918323555,0.977745678241139,0.9817264019528166
canonical_legacy,B0 legacy canonical,science,0.7,0.8268695663577303,0.8411018630769418,10,20,0.7672695755657803,0.8013069701520701,0.8214689591999005,0.833774992763247,0.8355147454494537,0.8379010478220086,0.8422045173329881,0.8461405424033657,0.8420124498115482,0.8411018630769418
canonical_legacy,B0 legacy canonical,coding,0.55,0.43209544758840535,0.40683104063385755,,10,0.46558136698981767,0.454512623526708,0.4251695096765519,0.4170555579006283,0.4152373448148096,0.4285980060627948,0.4424261184824565,0.4284963862428651,0.4370465215535638,0.40683104063385755
canonical_plus_neuron_meta_min,B1 canonical + neuron_meta_min,math,0.8,0.9660019675904339,0.9731068597220781,10,10,0.9367179916595267,0.9475058908217721,0.9600277698105353,0.971024802837917,0.9726572469578179,0.9743424654188877,0.9731244604782879,0.9756449883297782,0.9758671998677386,0.9731068597220781
canonical_plus_neuron_meta_min,B1 canonical + neuron_meta_min,science,0.7,0.8293221051412473,0.8559370101610655,10,30,0.7532270415196145,0.8104721089502775,0.8278123779018939,0.8331736103505324,0.8359888256484594,0.8378402800641493,0.8424978957108762,0.8473297156073669,0.8489421854982366,0.8559370101610655
canonical_plus_neuron_meta_min,B1 canonical + neuron_meta_min,coding,0.55,0.44206075614526325,0.4323438689635873,,10,0.44264186517707643,0.43612881641050655,0.4269971030534411,0.42918114749100666,0.4317888684085867,0.4479917578509128,0.4680311863410455,0.46147123611912344,0.44403171163734545,0.4323438689635873
